task_code,status_code,wbs_id,user_field_297,task_name,start_date,end_date,delete_record_flag
MM00190,Completed,LINXS-1907.M.M,,Notice to Proceed 2 (NTP 2),,1/16/2019 8:00:00 AM,
MM00165,Completed,LINXS-1907.M.M,,Financial Close Deadline,,7/16/2018 5:00:00 PM,
MM00250,Not Started,LINXS-1907.M.M,,Adverse Weather - Final Completion,,9/30/2023 5:00:00 PM,
MC00110,Completed,LINXS-1907.M.C,,Project Work Initiation Meeting,,6/18/2018 5:00:00 PM,
MC00120,Completed,LINXS-1907.M.C,,Design Initiation Meeting,,7/20/2018 5:00:00 PM,
MC00130,Completed,LINXS-1907.M.C,,Construction Initiation Meeting,,4/1/2018 8:00:00 AM,
MC00140,Completed,LINXS-1907.M.C,,Quality Work Initiation Meeting,,8/3/2018 5:00:00 PM,
MC00150,Completed,LINXS-1907.M.C,,Safety and Security Work Initiation Meeting,,10/3/2018,
MC00160,Completed,LINXS-1907.M.C,,Environmental Work Initiation Meeting,,7/13/2018 5:00:00 PM,
MC00170,Completed,LINXS-1907.M.C,,Revised Project Schedule,,6/27/2018 5:00:00 PM,
MC00180,Completed,LINXS-1907.M.C,,Baseline Schedule Approved,,12/21/2018 5:00:00 PM,
KPI1000,Not Started,LINXS-1907.M.K,,KPI - OS and Vehicle - APM Vehicle Design Complete,,9/20/2019 5:00:00 PM,
KPI1010,Not Started,LINXS-1907.M.K,,KPI - OS and Vehicle - OS System Design Complete,,9/20/2019 5:00:00 PM,
KPI1020,Not Started,LINXS-1907.M.K,,KPI - OS and Vehicle - First Article Vehicle Inspection & Testing Complete,,6/30/2020 5:00:00 PM,
KPI1030,Not Started,LINXS-1907.M.K,,KPI - OS and Vehicle - Vehicle Manufacturing Complete,,3/24/2021 5:00:00 PM,
KPI1040,Not Started,LINXS-1907.M.K,,KPI - OS and Vehicle - Vehicle Delivery Complete,,10/28/2021 5:00:00 PM,
KPI1050,Not Started,LINXS-1907.M.K,,KPI - OS and Vehicle - Begin Vehicle Testing @ Site,,3/29/2022 5:00:00 PM,
KPI2100,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - CTA West Station Substructure Design Complete,,10/9/2019 5:00:00 PM,
KPI2010,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - CTA West Station Superstructure Design Complete,,11/11/2019 5:00:00 PM,
KPI2030,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - CTA West Station Architectural Design Complete,,9/9/2019 5:00:00 PM,
KPI2200,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - CTA Center Substructure Design Complete,,11/11/2019 5:00:00 PM,
KPI2210,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - CTA Center Superstructure Design Complete,,11/14/2019 5:00:00 PM,
KPI2230,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - CTA Center Architectural Design Complete,,11/14/2019 5:00:00 PM,
KPI2300,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - CTA East Substructure Design Complete,,8/23/2019 5:00:00 PM,
KPI2310,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - CTA East Superstructure Design Complete,,9/23/2019 5:00:00 PM,
KPI2330,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - CTA East Architectural Design Complete,,9/11/2019 5:00:00 PM,
KPI2400,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - ITF West Substructure Design Complete,,8/16/2019 5:00:00 PM,
KPI2410,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - ITF West Superstructure Design Complete,,10/1/2019 5:00:00 PM,
KPI2430,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - ITF West Architectural Design Complete,,9/16/2019 5:00:00 PM,
KPI2510,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - ITF East Substructure Design Complete,,12/20/2019 5:00:00 PM,
KPI2520,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - ITF East Superstructure Design Complete,,12/20/2019 5:00:00 PM,
KPI2540,Not Started,LINXS-1907.M.K,,KPI - Design - Stations - ITF East Architectural Design Complete,,11/25/2019 5:00:00 PM,
KPI2600,Completed,LINXS-1907.M.K,,KPI - Design - MS&F - M&SF Basis of Design Complete,,10/19/2018,
KPI2620,Not Started,LINXS-1907.M.K,,KPI - Design - MS&F - MS&F Design Complete,,8/16/2019 5:00:00 PM,
KPI2700,Not Started,LINXS-1907.M.K,,KPI - Design - Garages - Parking Garages Basis of Design Complete,,10/9/2019 5:00:00 PM,
KPI2710,Not Started,LINXS-1907.M.K,,KPI - Design - Garages - Parking Garages Substructure Design Complete,,10/9/2019 5:00:00 PM,
KPI2720,Not Started,LINXS-1907.M.K,,KPI - Design - Garages - Parking Garages Superstructure Design Complete,,10/9/2019 5:00:00 PM,
KPI2740,Not Started,LINXS-1907.M.K,,KPI - Design - Garages - Parking Garages - Architectural Design Complete,,10/8/2019 5:00:00 PM,
KPI3000,Completed,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Basis of Design Complete,,10/22/2018,
KPI3100,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Foundations Design Complete - Area 1,,3/27/2020 5:00:00 PM,
KPI3110,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Substructure Design Complete - Area 1,,3/27/2020 5:00:00 PM,
KPI3120,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Superstructure Design Complete - Area 1,,3/27/2020 5:00:00 PM,
KPI3130,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Equipment Design Complete - Area 1,,3/27/2020 5:00:00 PM,
KPI3200,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Foundations Design Complete - Area 2,,9/9/2019 5:00:00 PM,
KPI3210,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Substructure Design Complete - Area 2,,9/9/2019 5:00:00 PM,
KPI3220,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Superstructure Design Complete - Area 2,,9/9/2019 5:00:00 PM,
KPI3230,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Equipment Design Complete - Area 2,,9/9/2019 5:00:00 PM,
KPI3300,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Foundations Design Complete - Area 3,,2/10/2020 5:00:00 PM,
KPI3310,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Substructure Design Complete - Area 3,,2/10/2020 5:00:00 PM,
KPI3320,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Superstructure Design Complete - Area 3,,2/10/2020 5:00:00 PM,
KPI3340,Not Started,LINXS-1907.M.K,,KPI - Design - Guideways - Guideway Equipment Design Complete - Area 3,,2/10/2020 5:00:00 PM,
KPI4000,Not Started,LINXS-1907.M.K,,KPI - Design - Roadways - 96th Street Design Complete,,1/20/2020 5:00:00 PM,
KPI4010,Not Started,LINXS-1907.M.K,,KPI - Design - Roadways - A Street Design Complete,,11/27/2019 5:00:00 PM,
KPI4020,Not Started,LINXS-1907.M.K,,KPI - Design - Roadways - D Street Design Complete,,1/23/2020 5:00:00 PM,
KPI4030,Not Started,LINXS-1907.M.K,,KPI - Design - Roadways - Aviation Blvd Design Complete,,4/1/2020 5:00:00 PM,
KPI4040,Not Started,LINXS-1907.M.K,,KPI - Design - Roadways - Concourse Way Design Complete,,3/11/2020 5:00:00 PM,
KPI4050,Not Started,LINXS-1907.M.K,,KPI - Design - Roadways - Century Blvd Design Complete,,11/6/2019 5:00:00 PM,
KPI4060,Not Started,LINXS-1907.M.K,,KPI - Design - Roadways - CTA Roadways Street Design Complete,,1/14/2020 5:00:00 PM,
KPI5000,Not Started,LINXS-1907.M.K,,KPI - Design - Utilities - Utility Relocations Design Complete - Area 1,,11/6/2019 5:00:00 PM,
KPI5010,Not Started,LINXS-1907.M.K,,KPI - Design - Utilities - Utility Relocations Design Complete - Area 2,,1/8/2020 5:00:00 PM,
KPI5020,Not Started,LINXS-1907.M.K,,KPI - Design - Utilities - Utility Relocations Design Complete - Area 3,,9/30/2019 5:00:00 PM,
KPI5030,Not Started,LINXS-1907.M.K,,KPI - Design - Utilities - Utility Relocations Design Complete - Area 4,,2/12/2020 5:00:00 PM,
KPI6000,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA West Station Foundations Complete,,3/2/2020 5:00:00 PM,
KPI6010,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA West Station Steel Erection Complete,,7/29/2021 5:00:00 PM,
KPI6020,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA West Station Building Envelope Complete,,12/13/2021 5:00:00 PM,
KPI6030,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA West Station Systems Rough-In Complete,,12/24/2021 5:00:00 PM,
KPI6040,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA West Station Elevators & Escalators Ready for Testing,,4/19/2022 5:00:00 PM,
KPI6050,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA West Station OS Fitout Complete,,2/28/2022 8:00:00 AM,
KPI6060,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA West Station Permanent Power Available,,10/27/2021 5:00:00 PM,
KPI6070,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA West Station IT & OS Rooms Complete,,6/20/2022 5:00:00 PM,
KPI6090,Not Started,LINXS-1907.M.K,,"KPI - Construction - Stations - CTA West Station Startup, Testing & Commissioning Complete",,11/3/2022 5:00:00 PM,
KPI6100,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA Center Station Foundations Complete,,5/19/2020 5:00:00 PM,
KPI6110,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA Center Station Steel Erection Complete,,6/23/2021 5:00:00 PM,
KPI6120,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA Center Station Building Envelope Complete,,1/24/2022 5:00:00 PM,
KPI6130,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA Center Station Systems Rough-In Complete,,11/11/2021 5:00:00 PM,
KPI6140,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA Center Station Elevators & Escalators Ready for Testing,,4/19/2022 5:00:00 PM,
KPI6150,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA Center Station OS Fitout Complete,,4/7/2022 8:00:00 AM,
KPI6160,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA Center Station Permanent Power Available,,10/27/2021 5:00:00 PM,
KPI6170,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA Center Station IT & OS Rooms Complete,,2/8/2022 5:00:00 PM,
KPI6180,Not Started,LINXS-1907.M.K,,"KPI - Construction - Stations - CTA Center Station Startup, Testing & Commissioning Complete",,11/3/2022 5:00:00 PM,
KPI6200,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA East Station Foundations Complete,,1/9/2020 5:00:00 PM,
KPI6210,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA East Station Steel Erection Complete,,2/25/2021 5:00:00 PM,
KPI6220,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA East Station Building Envelope Complete,,5/14/2021 5:00:00 PM,
KPI6230,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA East Station Systems Rough-In Complete,,10/28/2021 5:00:00 PM,
KPI6240,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA East Station Elevators & Escalators Ready for Testing,,4/1/2022 5:00:00 PM,
KPI6250,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA East Station OS Fitout Complete,,11/15/2021 8:00:00 AM,
KPI6260,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - TPSS #1 Ready for Power,,9/24/2021 5:00:00 PM,
KPI6270,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA East Station Permanent Power Available,,10/27/2021 5:00:00 PM,
KPI6280,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - CTA East Station IT & OS Rooms Complete,,11/9/2021 5:00:00 PM,
KPI6290,Not Started,LINXS-1907.M.K,,"KPI - Construction - Stations - CTA East Station Startup, Testing & Commissioning Complete",,11/3/2022 5:00:00 PM,
KPI6300,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF West Station Foundations Complete,,11/19/2019 5:00:00 PM,
KPI6310,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF West Station Steel Erection Complete,,2/5/2021 5:00:00 PM,
KPI6320,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF West Station Building Envelope Complete,,5/17/2021 5:00:00 PM,
KPI6330,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations -  ITF West Station Systems Rough-In Complete,,8/3/2021 5:00:00 PM,
KPI6340,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF West Station OS Fitout Complete,,11/30/2021 8:00:00 AM,
KPI6350,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF West Station Elevators & Escalators Ready for Testing,,1/24/2022 5:00:00 PM,
KPI6360,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF West Station - Permanent Power Available,,6/16/2021 5:00:00 PM,
KPI6370,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF West Station - IT & OS Rooms Complete,,11/29/2021 5:00:00 PM,
KPI6380,Not Started,LINXS-1907.M.K,,"KPI - Construction - Stations - ITF West Station Startup, Testing & Commissioning Complete",,11/3/2022 5:00:00 PM,
KPI6400,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF East Station Foundations Complete,,5/22/2020 5:00:00 PM,
KPI6410,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF East Station Steel Erection Complete,,6/8/2021 5:00:00 PM,
KPI6420,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF East Station Building Envelope Complete,,12/23/2021 5:00:00 PM,
KPI6430,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF East Station Systems Rough-In Complete,,11/3/2021 5:00:00 PM,
KPI6440,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF East Station OS Fitout Complete,,3/21/2022 8:00:00 AM,
KPI6450,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF East Station Elevators & Escalators Ready for Testing,,2/18/2022 5:00:00 PM,
KPI6460,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF East Station - Permanent Power Available,,1/5/2022 5:00:00 PM,
KPI6470,Not Started,LINXS-1907.M.K,,KPI - Construction - Stations - ITF East Station - IT & OS Rooms Complete,,1/27/2022 5:00:00 PM,
KPI6480,Not Started,LINXS-1907.M.K,,"KPI - Construction - Stations - ITF East Station Startup, Testing & Commissioning Complete",,11/23/2022 5:00:00 PM,
KPI6500,Not Started,LINXS-1907.M.K,,KPI - Construction - CONRAC - CONRAC Station Ready for OS Fitout,,11/3/2021 5:00:00 PM,
KPI6510,Not Started,LINXS-1907.M.K,,KPI - Construction - CONRAC - CONRAC Station OS Fitout Complete,,2/1/2022 8:00:00 AM,
KPI6520,Not Started,LINXS-1907.M.K,,KPI - Construction - CONRAC - CONRAC Station MEP Systems Complete,,11/16/2021 5:00:00 PM,
KPI6540,Not Started,LINXS-1907.M.K,,KPI - Construction - CONRAC - CONRAC Station IT & OS Rooms Complete,,11/16/2021 5:00:00 PM,
KPI6550,Not Started,LINXS-1907.M.K,,"KPI - Construction - CONRAC - CONRAC Station Startup, Testing & Commissioning Complete",,11/23/2022 5:00:00 PM,
KPI6600,Not Started,LINXS-1907.M.K,,KPI - Construction - MS&F - M&SF Foundations Complete,,3/4/2020 5:00:00 PM,
KPI6610,Not Started,LINXS-1907.M.K,,KPI - Construction - MS&F - M&SF Steel Erection Complete,,7/28/2020 5:00:00 PM,
KPI6620,Not Started,LINXS-1907.M.K,,KPI - Construction - MS&F - M&SF Building Envelope Complete,,9/23/2020 5:00:00 PM,
KPI6630,Not Started,LINXS-1907.M.K,,KPI - Construction - MS&F - M&SF Systems Rough-In Complete,,4/6/2021 5:00:00 PM,
KPI6640,Not Started,LINXS-1907.M.K,,KPI - Construction - MS&F - M&SF Elevators Ready for Testing,,2/24/2021 5:00:00 PM,
KPI6650,Not Started,LINXS-1907.M.K,,KPI - Construction - MS&F - M&SF OS & Equipment Fitout Complete,,8/27/2021 8:00:00 AM,
KPI6660,Not Started,LINXS-1907.M.K,,KPI - Construction - ITFE - TPSS #3 Ready,,6/22/2021 5:00:00 PM,
KPI6670,Not Started,LINXS-1907.M.K,,KPI - Construction - MS&F - M&SF Permanent Power Available,,6/22/2021 5:00:00 PM,
KPI6680,Not Started,LINXS-1907.M.K,,KPI - Construction - MS&F - M&SF IT & OS Rooms Complete,,1/5/2022 5:00:00 PM,
KPI6690,Not Started,LINXS-1907.M.K,,KPI - Construction - MS&F - M&SF Control Center Complete,,5/11/2021 5:00:00 PM,
KPI6700,Not Started,LINXS-1907.M.K,,KPI - Construction - MS&F - Train Wash Building Complete,,10/26/2020 5:00:00 PM,
KPI6710,Not Started,LINXS-1907.M.K,,"KPI - Construction - MS&F - M&SF Startup, Testing & Commissioning Complete",,11/3/2022 5:00:00 PM,
KPI7000,Not Started,LINXS-1907.M.K,,KPI - Construction - Roadways - 96th Street Construction Complete,,5/13/2022 5:00:00 PM,
KPI7010,Not Started,LINXS-1907.M.K,,KPI - Construction - Roadways - A Street Construction Complete,,9/29/2021 5:00:00 PM,
KPI7020,Not Started,LINXS-1907.M.K,,KPI - Construction - Roadways - D Street Construction Complete,,7/27/2021 5:00:00 PM,
KPI7030,Not Started,LINXS-1907.M.K,,KPI - Construction - Roadways - Aviation Blvd Construction Complete,,10/25/2022 5:00:00 PM,
KPI7050,Not Started,LINXS-1907.M.K,,KPI - Construction - Roadways - Century Blvd Construction Complete,,7/14/2020 5:00:00 PM,
KPI7060,Not Started,LINXS-1907.M.K,,KPI - Construction - Roadways - CTA Roadways Street Construction Complete,,4/11/2022 5:00:00 PM,
KPI7070,Not Started,LINXS-1907.M.K,,KPI - Construction - Roadways - New Upper West Way Complete,,12/14/2021 5:00:00 PM,
KPI8000,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 0.5 Foundations Complete,,11/11/2019 5:00:00 PM,
KPI8010,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 0.5 Columns Complete,,7/13/2020 5:00:00 PM,
KPI8020,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 0.5 Superstructure Complete,,8/31/2020 5:00:00 PM,
KPI8030,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 0.5 Building Envelope Complete,,12/7/2020 5:00:00 PM,
KPI8040,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 0.5 Systems Rough-In Complete,,9/24/2020 5:00:00 PM,
KPI8050,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 0.5 Moving Walkway Complete,,12/14/2020 5:00:00 PM,
KPI8060,Not Started,LINXS-1907.M.K,,"KPI - Construction - Ped Walkways - PW 0.5 Startup, Testing & Commissioning Complete",,11/3/2022 5:00:00 PM,
KPI8100,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 1.5 Foundations Complete,,7/10/2020 5:00:00 PM,
KPI8110,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 1.5 Columns Complete,,7/21/2020 5:00:00 PM,
KPI8120,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - TVC 1.5 Ready for Ped Walkway Connection,,1/4/2022 8:00:00 AM,
KPI8130,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 1.5 Superstructure Complete,,1/28/2021 5:00:00 PM,
KPI8140,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 1.5 Building Envelope Complete,,7/19/2022 5:00:00 PM,
KPI8150,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 1.5 Systems Rough-In Complete,,2/16/2021 5:00:00 PM,
KPI8160,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 1.5 Moving Walkway Complete,,4/2/2021 5:00:00 PM,
KPI8170,Not Started,LINXS-1907.M.K,,"KPI - Construction - Ped Walkways - PW 1.5 Startup, Testing & Commissioning Complete",,11/3/2022 5:00:00 PM,
KPI8200,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 2.5 Foundations Complete,,6/30/2020 5:00:00 PM,
KPI8210,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 2.5 Columns Complete,,7/10/2020 5:00:00 PM,
KPI8220,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - TVC 2.5 Ready for Ped Walkway Connection,,1/4/2022 8:00:00 AM,
KPI8230,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 2.5 Superstructure Complete,,8/31/2020 5:00:00 PM,
KPI8240,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 2.5 Building Envelope Complete,,7/11/2022 5:00:00 PM,
KPI8250,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 2.5 Systems Rough-In Complete,,8/3/2022 5:00:00 PM,
KPI8260,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 2.5 Moving Walkway Complete,,11/13/2020 5:00:00 PM,
KPI8270,Not Started,LINXS-1907.M.K,,"KPI - Construction - Ped Walkways - PW 2.5 Startup, Testing & Commissioning Complete",,11/3/2022 5:00:00 PM,
KPI8300,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 3 Foundations Complete,,4/9/2020 5:00:00 PM,
KPI8310,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 3 Columns Complete,,4/20/2020 5:00:00 PM,
KPI8320,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - TVC 3.0 Ready for Ped Walkway Connection,,1/4/2022 8:00:00 AM,
KPI8330,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 3 Superstructure Complete,,3/4/2022 5:00:00 PM,
KPI8340,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 3 Building Envelope Complete,,6/14/2022 5:00:00 PM,
KPI8350,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 3 Systems Rough-In Complete,,4/7/2022 5:00:00 PM,
KPI8360,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW 3 Moving Walkway Complete,,11/4/2020 5:00:00 PM,
KPI8370,Not Started,LINXS-1907.M.K,,"KPI - Construction - Ped Walkways - PW 3 Startup, Testing & Commissioning Complete",,11/3/2022 5:00:00 PM,
KPI8420,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - TVC TBIT Ready for Ped Walkway Connection,,1/4/2022 8:00:00 AM,
KPI8430,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW TBIT Building Envelope Complete,,6/2/2022 5:00:00 PM,
KPI8440,Not Started,LINXS-1907.M.K,,KPI - Construction - Ped Walkways - PW TBIT Systems Rough-In Complete,,3/30/2022 5:00:00 PM,
