task_code,status_code,wbs_id,target_drtn_hr_cnt,task_name,wbs_name,wbs_path,user_field_833,delete_record_flag,
MM00230,Not Started,LINXS-Current-2-Des.M.M,0,Passenger Service Availabilty (PSA),Major Milestones,M.M,,,
MM00120,Completed,LINXS-Current-2-Des.M.M,0,CEO Recommendation for Agreement Award,Major Milestones,M.M,,,
MM00130,Completed,LINXS-Current-2-Des.M.M,0,Developer Commercial Close Deadline,Major Milestones,M.M,,,
MM00140,Completed,LINXS-Current-2-Des.M.M,0,Board of Airport Commissioners Approval Award Recommendation,Major Milestones,M.M,,,
MM00160,Completed,LINXS-Current-2-Des.M.M,0,City Council Approval,Major Milestones,M.M,,,
MM00150,Completed,LINXS-Current-2-Des.M.M,0,Commercial Close,Major Milestones,M.M,,,
MM00180,Completed,LINXS-Current-2-Des.M.M,0,Notice to Proceed 1 (NTP 1),Major Milestones,M.M,,,
MM00190,Completed,LINXS-Current-2-Des.M.M,0,Notice to Proceed 2 (NTP 2),Major Milestones,M.M,,,
MM00165,Completed,LINXS-Current-2-Des.M.M,0,Financial Close Deadline,Major Milestones,M.M,,,
MM00250,Not Started,LINXS-Current-2-Des.M.M,0,Adverse Weather - Final Completion,Major Milestones,M.M,,,
MC00110,Completed,LINXS-Current-2-Des.M.C,0,Project Work Initiation Meeting,Contract Milestones,M.C,,,
MC00120,Completed,LINXS-Current-2-Des.M.C,0,Design Initiation Meeting,Contract Milestones,M.C,,,
MC00130,Completed,LINXS-Current-2-Des.M.C,0,Construction Initiation Meeting,Contract Milestones,M.C,,,
MC00140,Completed,LINXS-Current-2-Des.M.C,0,Quality Work Initiation Meeting,Contract Milestones,M.C,,,
MC00150,Completed,LINXS-Current-2-Des.M.C,0,Safety and Security Work Initiation Meeting,Contract Milestones,M.C,,,
MC00160,Completed,LINXS-Current-2-Des.M.C,0,Environmental Work Initiation Meeting,Contract Milestones,M.C,,,
MC00170,Completed,LINXS-Current-2-Des.M.C,0,Revised Project Schedule,Contract Milestones,M.C,,,
MC00180,Completed,LINXS-Current-2-Des.M.C,0,Baseline Schedule Approved,Contract Milestones,M.C,,,
KPI1000,Not Started,LINXS-Current-2-Des.4.K,0,KPI - OS and Vehicle - APM Vehicle Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI1010,Not Started,LINXS-Current-2-Des.4.K,0,KPI - OS and Vehicle - OS System Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI1020,Not Started,LINXS-Current-2-Des.4.K,0,KPI - OS and Vehicle - First Article Vehicle Inspection & Testing Complete,Key Performance Indicators (KPI),4.K,,,
KPI1030,Not Started,LINXS-Current-2-Des.4.K,0,KPI - OS and Vehicle - Vehicle Manufacturing Complete,Key Performance Indicators (KPI),4.K,,,
KPI1040,Not Started,LINXS-Current-2-Des.4.K,0,KPI - OS and Vehicle - Vehicle Delivery Complete,Key Performance Indicators (KPI),4.K,,,
KPI1050,Not Started,LINXS-Current-2-Des.4.K,0,KPI - OS and Vehicle - Begin Vehicle Testing @ Site,Key Performance Indicators (KPI),4.K,,,
KPI2100,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - CTA West Station Substructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2010,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - CTA West Station Superstructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2030,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - CTA West Station Architectural Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2200,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - CTA Center Substructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2210,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - CTA Center Superstructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2230,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - CTA Center Architectural Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2300,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - CTA East Substructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2310,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - CTA East Superstructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2330,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - CTA East Architectural Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2400,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - ITF West Substructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2410,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - ITF West Superstructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2430,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - ITF West Architectural Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2510,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - ITF East Substructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2520,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - ITF East Superstructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2540,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Stations - ITF East Architectural Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2600,Completed,LINXS-Current-2-Des.4.K,0,KPI - Design - MS&F - M&SF Basis of Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2620,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - MS&F - MS&F Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2700,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Garages - Parking Garages Basis of Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2710,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Garages - Parking Garages Substructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2720,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Garages - Parking Garages Superstructure Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI2740,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Garages - Parking Garages - Architectural Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI3000,Completed,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Basis of Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI3100,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Foundations Design Complete - Area 1,Key Performance Indicators (KPI),4.K,,,
KPI3110,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Substructure Design Complete - Area 1,Key Performance Indicators (KPI),4.K,,,
KPI3120,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Superstructure Design Complete - Area 1,Key Performance Indicators (KPI),4.K,,,
KPI3130,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Equipment Design Complete - Area 1,Key Performance Indicators (KPI),4.K,,,
KPI3200,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Foundations Design Complete - Area 2,Key Performance Indicators (KPI),4.K,,,
KPI3210,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Substructure Design Complete - Area 2,Key Performance Indicators (KPI),4.K,,,
KPI3220,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Superstructure Design Complete - Area 2,Key Performance Indicators (KPI),4.K,,,
KPI3230,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Equipment Design Complete - Area 2,Key Performance Indicators (KPI),4.K,,,
KPI3300,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Foundations Design Complete - Area 3,Key Performance Indicators (KPI),4.K,,,
KPI3310,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Substructure Design Complete - Area 3,Key Performance Indicators (KPI),4.K,,,
KPI3320,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Superstructure Design Complete - Area 3,Key Performance Indicators (KPI),4.K,,,
KPI3340,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Guideways - Guideway Equipment Design Complete - Area 3,Key Performance Indicators (KPI),4.K,,,
KPI4000,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Roadways - 96th Street Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI4010,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Roadways - A Street Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI4020,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Roadways - D Street Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI4030,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Roadways - Aviation Blvd Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI4040,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Roadways - Concourse Way Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI4050,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Roadways - Century Blvd Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI4060,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Roadways - CTA Roadways Street Design Complete,Key Performance Indicators (KPI),4.K,,,
KPI5000,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Utilities - Utility Relocations Design Complete - Area 1,Key Performance Indicators (KPI),4.K,,,
KPI5010,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Utilities - Utility Relocations Design Complete - Area 2,Key Performance Indicators (KPI),4.K,,,
KPI5020,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Utilities - Utility Relocations Design Complete - Area 3,Key Performance Indicators (KPI),4.K,,,
KPI5030,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Design - Utilities - Utility Relocations Design Complete - Area 4,Key Performance Indicators (KPI),4.K,,,
KPI6000,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA West Station Foundations Complete,Key Performance Indicators (KPI),4.K,,,
KPI6010,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA West Station Steel Erection Complete,Key Performance Indicators (KPI),4.K,,,
KPI6020,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA West Station Building Envelope Complete,Key Performance Indicators (KPI),4.K,,,
KPI6030,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA West Station Systems Rough-In Complete,Key Performance Indicators (KPI),4.K,,,
KPI6040,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA West Station Elevators & Escalators Ready for Testing,Key Performance Indicators (KPI),4.K,,,
KPI6050,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA West Station OS Fitout Complete,Key Performance Indicators (KPI),4.K,,,
KPI6060,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA West Station Permanent Power Available,Key Performance Indicators (KPI),4.K,,,
KPI6070,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA West Station IT & OS Rooms Complete,Key Performance Indicators (KPI),4.K,,,
KPI6090,Not Started,LINXS-Current-2-Des.4.K,0,"KPI - Construction - Stations - CTA West Station Startup, Testing & Commissioning Complete",Key Performance Indicators (KPI),4.K,,,
KPI6100,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA Center Station Foundations Complete,Key Performance Indicators (KPI),4.K,,,
KPI6110,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA Center Station Steel Erection Complete,Key Performance Indicators (KPI),4.K,,,
KPI6120,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA Center Station Building Envelope Complete,Key Performance Indicators (KPI),4.K,,,
KPI6130,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA Center Station Systems Rough-In Complete,Key Performance Indicators (KPI),4.K,,,
KPI6140,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA Center Station Elevators & Escalators Ready for Testing,Key Performance Indicators (KPI),4.K,,,
KPI6150,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA Center Station OS Fitout Complete,Key Performance Indicators (KPI),4.K,,,
KPI6160,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA Center Station Permanent Power Available,Key Performance Indicators (KPI),4.K,,,
KPI6170,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA Center Station IT & OS Rooms Complete,Key Performance Indicators (KPI),4.K,,,
KPI6180,Not Started,LINXS-Current-2-Des.4.K,0,"KPI - Construction - Stations - CTA Center Station Startup, Testing & Commissioning Complete",Key Performance Indicators (KPI),4.K,,,
KPI6200,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA East Station Foundations Complete,Key Performance Indicators (KPI),4.K,,,
KPI6210,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA East Station Steel Erection Complete,Key Performance Indicators (KPI),4.K,,,
KPI6220,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA East Station Building Envelope Complete,Key Performance Indicators (KPI),4.K,,,
KPI6230,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA East Station Systems Rough-In Complete,Key Performance Indicators (KPI),4.K,,,
KPI6240,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA East Station Elevators & Escalators Ready for Testing,Key Performance Indicators (KPI),4.K,,,
KPI6250,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA East Station OS Fitout Complete,Key Performance Indicators (KPI),4.K,,,
KPI6260,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - TPSS #1 Ready for Power,Key Performance Indicators (KPI),4.K,,,
KPI6270,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA East Station Permanent Power Available,Key Performance Indicators (KPI),4.K,,,
KPI6280,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - CTA East Station IT & OS Rooms Complete,Key Performance Indicators (KPI),4.K,,,
KPI6290,Not Started,LINXS-Current-2-Des.4.K,0,"KPI - Construction - Stations - CTA East Station Startup, Testing & Commissioning Complete",Key Performance Indicators (KPI),4.K,,,
KPI6300,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF West Station Foundations Complete,Key Performance Indicators (KPI),4.K,,,
KPI6310,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF West Station Steel Erection Complete,Key Performance Indicators (KPI),4.K,,,
KPI6320,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF West Station Building Envelope Complete,Key Performance Indicators (KPI),4.K,,,
KPI6330,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations -  ITF West Station Systems Rough-In Complete,Key Performance Indicators (KPI),4.K,,,
KPI6340,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF West Station OS Fitout Complete,Key Performance Indicators (KPI),4.K,,,
KPI6350,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF West Station Elevators & Escalators Ready for Testing,Key Performance Indicators (KPI),4.K,,,
KPI6360,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF West Station - Permanent Power Available,Key Performance Indicators (KPI),4.K,,,
KPI6370,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF West Station - IT & OS Rooms Complete,Key Performance Indicators (KPI),4.K,,,
KPI6380,Not Started,LINXS-Current-2-Des.4.K,0,"KPI - Construction - Stations - ITF West Station Startup, Testing & Commissioning Complete",Key Performance Indicators (KPI),4.K,,,
KPI6400,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF East Station Foundations Complete,Key Performance Indicators (KPI),4.K,,,
KPI6410,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF East Station Steel Erection Complete,Key Performance Indicators (KPI),4.K,,,
KPI6420,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF East Station Building Envelope Complete,Key Performance Indicators (KPI),4.K,,,
KPI6430,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF East Station Systems Rough-In Complete,Key Performance Indicators (KPI),4.K,,,
KPI6440,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF East Station OS Fitout Complete,Key Performance Indicators (KPI),4.K,,,
KPI6450,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF East Station Elevators & Escalators Ready for Testing,Key Performance Indicators (KPI),4.K,,,
KPI6460,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF East Station - Permanent Power Available,Key Performance Indicators (KPI),4.K,,,
KPI6470,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Stations - ITF East Station - IT & OS Rooms Complete,Key Performance Indicators (KPI),4.K,,,
KPI6480,Not Started,LINXS-Current-2-Des.4.K,0,"KPI - Construction - Stations - ITF East Station Startup, Testing & Commissioning Complete",Key Performance Indicators (KPI),4.K,,,
KPI6500,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - CONRAC - CONRAC Station Ready for OS Fitout,Key Performance Indicators (KPI),4.K,,,
KPI6510,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - CONRAC - CONRAC Station OS Fitout Complete,Key Performance Indicators (KPI),4.K,,,
KPI6520,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - CONRAC - CONRAC Station MEP Systems Complete,Key Performance Indicators (KPI),4.K,,,
KPI6540,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - CONRAC - CONRAC Station IT & OS Rooms Complete,Key Performance Indicators (KPI),4.K,,,
KPI6550,Not Started,LINXS-Current-2-Des.4.K,0,"KPI - Construction - CONRAC - CONRAC Station Startup, Testing & Commissioning Complete",Key Performance Indicators (KPI),4.K,,,
KPI6600,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - MS&F - M&SF Foundations Complete,Key Performance Indicators (KPI),4.K,,,
KPI6610,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - MS&F - M&SF Steel Erection Complete,Key Performance Indicators (KPI),4.K,,,
KPI6620,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - MS&F - M&SF Building Envelope Complete,Key Performance Indicators (KPI),4.K,,,
KPI6630,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - MS&F - M&SF Systems Rough-In Complete,Key Performance Indicators (KPI),4.K,,,
KPI6640,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - MS&F - M&SF Elevators Ready for Testing,Key Performance Indicators (KPI),4.K,,,
KPI6650,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - MS&F - M&SF OS & Equipment Fitout Complete,Key Performance Indicators (KPI),4.K,,,
KPI6660,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - ITFE - TPSS #3 Ready,Key Performance Indicators (KPI),4.K,,,
KPI6670,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - MS&F - M&SF Permanent Power Available,Key Performance Indicators (KPI),4.K,,,
KPI6680,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - MS&F - M&SF IT & OS Rooms Complete,Key Performance Indicators (KPI),4.K,,,
KPI6690,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - MS&F - M&SF Control Center Complete,Key Performance Indicators (KPI),4.K,,,
KPI6700,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - MS&F - Train Wash Building Complete,Key Performance Indicators (KPI),4.K,,,
KPI6710,Not Started,LINXS-Current-2-Des.4.K,0,"KPI - Construction - MS&F - M&SF Startup, Testing & Commissioning Complete",Key Performance Indicators (KPI),4.K,,,
KPI7000,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Roadways - 96th Street Construction Complete,Key Performance Indicators (KPI),4.K,,,
KPI7010,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Roadways - A Street Construction Complete,Key Performance Indicators (KPI),4.K,,,
KPI7020,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Roadways - D Street Construction Complete,Key Performance Indicators (KPI),4.K,,,
KPI7030,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Roadways - Aviation Blvd Construction Complete,Key Performance Indicators (KPI),4.K,,,
KPI7050,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Roadways - Century Blvd Construction Complete,Key Performance Indicators (KPI),4.K,,,
KPI7060,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Roadways - CTA Roadways Street Construction Complete,Key Performance Indicators (KPI),4.K,,,
KPI7070,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Roadways - New Upper West Way Complete,Key Performance Indicators (KPI),4.K,,,
KPI8000,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 0.5 Foundations Complete,Key Performance Indicators (KPI),4.K,,,
KPI8010,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 0.5 Columns Complete,Key Performance Indicators (KPI),4.K,,,
KPI8020,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 0.5 Superstructure Complete,Key Performance Indicators (KPI),4.K,,,
KPI8030,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 0.5 Building Envelope Complete,Key Performance Indicators (KPI),4.K,,,
KPI8040,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 0.5 Systems Rough-In Complete,Key Performance Indicators (KPI),4.K,,,
KPI8050,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 0.5 Moving Walkway Complete,Key Performance Indicators (KPI),4.K,,,
KPI8060,Not Started,LINXS-Current-2-Des.4.K,0,"KPI - Construction - Ped Walkways - PW 0.5 Startup, Testing & Commissioning Complete",Key Performance Indicators (KPI),4.K,,,
KPI8100,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 1.5 Foundations Complete,Key Performance Indicators (KPI),4.K,,,
KPI8110,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 1.5 Columns Complete,Key Performance Indicators (KPI),4.K,,,
KPI8120,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - TVC 1.5 Ready for Ped Walkway Connection,Key Performance Indicators (KPI),4.K,,,
KPI8130,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 1.5 Superstructure Complete,Key Performance Indicators (KPI),4.K,,,
KPI8140,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 1.5 Building Envelope Complete,Key Performance Indicators (KPI),4.K,,,
KPI8150,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 1.5 Systems Rough-In Complete,Key Performance Indicators (KPI),4.K,,,
KPI8160,Not Started,LINXS-Current-2-Des.4.K,0,KPI - Construction - Ped Walkways - PW 1.5 Moving Walkway Complete,Key Performance Indicators (KPI),4.K,,,
